bengali_date,gregorian_Date
"1 , Magh (Maagh) 1387",15/01/1980
"2 , Magh (Maagh) 1387",16/01/1980
"3 , Magh (Maagh) 1387",17/01/1980
"4 , Magh (Maagh) 1387",18/01/1980
"5 , Magh (Maagh) 1387",19/01/1980
"6 , Magh (Maagh) 1387",20/01/1980
"7 , Magh (Maagh) 1387",21/01/1980
"8 , Magh (Maagh) 1387",22/01/1980
"9 , Magh (Maagh) 1387",23/01/1980
"10 , Magh (Maagh) 1387",24/01/1980
"11 , Magh (Maagh) 1387",25/01/1980
"12 , Magh (Maagh) 1387",26/01/1980
"13 , Magh (Maagh) 1387",27/01/1980
"14 , Magh (Maagh) 1387",28/01/1980
"15 , Magh (Maagh) 1387",29/01/1980
"16 , Magh (Maagh) 1387",30/01/1980
"17 , Magh (Maagh) 1387",31/01/1980
"18 , Magh (Maagh) 1387",01/02/1980
"19 , Magh (Maagh) 1387",02/02/1980
"20 , Magh (Maagh) 1387",03/02/1980
"21 , Magh (Maagh) 1387",04/02/1980
"22 , Magh (Maagh) 1387",05/02/1980
"23 , Magh (Maagh) 1387",06/02/1980
"24 , Magh (Maagh) 1387",07/02/1980
"25 , Magh (Maagh) 1387",08/02/1980
"26 , Magh (Maagh) 1387",09/02/1980
"27 , Magh (Maagh) 1387",10/02/1980
"28 , Magh (Maagh) 1387",11/02/1980
"29 , Magh (Maagh) 1387",12/02/1980
"30 , Magh (Maagh) 1387",13/02/1980
"1 , Falgun (Phalgun) 1387",14/02/1980
"2 , Falgun (Phalgun) 1387",15/02/1980
"3 , Falgun (Phalgun) 1387",16/02/1980
"4 , Falgun (Phalgun) 1387",17/02/1980
"5 , Falgun (Phalgun) 1387",18/02/1980
"6 , Falgun (Phalgun) 1387",19/02/1980
"7 , Falgun (Phalgun) 1387",20/02/1980
"8 , Falgun (Phalgun) 1387",21/02/1980
"9 , Falgun (Phalgun) 1387",22/02/1980
"10 , Falgun (Phalgun) 1387",23/02/1980
"11 , Falgun (Phalgun) 1387",24/02/1980
"12 , Falgun (Phalgun) 1387",25/02/1980
"13 , Falgun (Phalgun) 1387",26/02/1980
"14 , Falgun (Phalgun) 1387",27/02/1980
"15 , Falgun (Phalgun) 1387",28/02/1980
"16 , Falgun (Phalgun) 1387",29/02/1980
"17 , Falgun (Phalgun) 1387",01/03/1980
"18 , Falgun (Phalgun) 1387",02/03/1980
"19 , Falgun (Phalgun) 1387",03/03/1980
"20 , Falgun (Phalgun) 1387",04/03/1980
"21 , Falgun (Phalgun) 1387",05/03/1980
"22 , Falgun (Phalgun) 1387",06/03/1980
"23 , Falgun (Phalgun) 1387",07/03/1980
"24 , Falgun (Phalgun) 1387",08/03/1980
"25 , Falgun (Phalgun) 1387",09/03/1980
"26 , Falgun (Phalgun) 1387",10/03/1980
