gujarati_date,gregorian_date
1 Maha 2036,"Jan 18, 1980"
2 Maha 2036,"Jan 19, 1980"
3 Maha 2036,"Jan 20, 1980"
4 Maha 2036,"Jan 21, 1980"
5 Maha 2036,"Jan 22, 1980"
6 Maha 2036,"Jan 23, 1980"
7 Maha 2036,"Jan 24, 1980"
8 Maha 2036,"Jan 25, 1980"
9 Maha 2036,"Jan 26, 1980"
10 Maha 2036,"Jan 27, 1980"
11 Maha 2036,"Jan 28, 1980"
12 Maha 2036,"Jan 29, 1980"
13 Maha 2036,"Jan 30, 1980"
14 Maha 2036,"Jan 31, 1980"
15 Maha 2036,"Feb 01, 1980"
16 Maha 2036,"Feb 02, 1980"
17 Maha 2036,"Feb 03, 1980"
18 Maha 2036,"Feb 04, 1980"
19 Maha 2036,"Feb 05, 1980"
20 Maha 2036,"Feb 06, 1980"
21 Maha 2036,"Feb 07, 1980"
22 Maha 2036,"Feb 08, 1980"
23 Maha 2036,"Feb 09, 1980"
24 Maha 2036,"Feb 10, 1980"
25 Maha 2036,"Feb 11, 1980"
26 Maha 2036,"Feb 12, 1980"
27 Maha 2036,"Feb 13, 1980"
28 Maha 2036,"Feb 14, 1980"
29 Maha 2036,"Feb 15, 1980"
30 Maha 2036,"Feb 16, 1980"
1 Phaguna 2036,"Feb 17, 1980"
2 Phaguna 2036,"Feb 18, 1980"
3 Phaguna 2036,"Feb 19, 1980"
4 Phaguna 2036,"Feb 20, 1980"
5 Phaguna 2036,"Feb 21, 1980"
6 Phaguna 2036,"Feb 22, 1980"
7 Phaguna 2036,"Feb 23, 1980"
8 Phaguna 2036,"Feb 24, 1980"
9 Phaguna 2036,"Feb 25, 1980"
10 Phaguna 2036,"Feb 26, 1980"
11 Phaguna 2036,"Feb 27, 1980"
12 Phaguna 2036,"Feb 28, 1980"
13 Phaguna 2036,"Feb 29, 1980"
14 Phaguna 2036,"Mar 01, 1980"
15 Phaguna 2036,"Mar 02, 1980"
16 Phaguna 2036,"Mar 03, 1980"
17 Phaguna 2036,"Mar 04, 1980"
18 Phaguna 2036,"Mar 05, 1980"
19 Phaguna 2036,"Mar 06, 1980"
20 Phaguna 2036,"Mar 07, 1980"
21 Phaguna 2036,"Mar 08, 1980"
22 Phaguna 2036,"Mar 09, 1980"
23 Phaguna 2036,"Mar 10, 1980"
24 Phaguna 2036,"Mar 11, 1980"
25 Phaguna 2036,"Mar 12, 1980"
26 Phaguna 2036,"Mar 13, 1980"
27 Phaguna 2036,"Mar 14, 1980"
28 Phaguna 2036,"Mar 15, 1980"
29 Phaguna 2036,"Mar 16, 1980"
1 Chaitra 2036,"Mar 17, 1980"
2 Chaitra 2036,"Mar 18, 1980"
3 Chaitra 2036,"Mar 19, 1980"
4 Chaitra 2036,"Mar 20, 1980"
5 Chaitra 2036,"Mar 21, 1980"
6 Chaitra 2036,"Mar 22, 1980"
7 Chaitra 2036,"Mar 23, 1980"
8 Chaitra 2036,"Mar 24, 1980"
9 Chaitra 2036,"Mar 25, 1980"
10 Chaitra 2036,"Mar 26, 1980"
11 Chaitra 2036,"Mar 27, 1980"
12 Chaitra 2036,"Mar 28, 1980"
13 Chaitra 2036,"Mar 29, 1980"
14 Chaitra 2036,"Mar 30, 1980"
15 Chaitra 2036,"Mar 31, 1980"
16 Chaitra 2036,"Apr 01, 1980"
17 Chaitra 2036,"Apr 02, 1980"
18 Chaitra 2036,"Apr 03, 1980"
19 Chaitra 2036,"Apr 04, 1980"
20 Chaitra 2036,"Apr 05, 1980"
21 Chaitra 2036,"Apr 06, 1980"
22 Chaitra 2036,"Apr 07, 1980"
23 Chaitra 2036,"Apr 08, 1980"
24 Chaitra 2036,"Apr 09, 1980"
25 Chaitra 2036,"Apr 10, 1980"
